FrameNumber,CocaineLeverPress,SucrosePump,SucroseLeverCue,SucroseLeverPress,CocaineLeverCue,CocainePump,Licks,TrueSucrosePresses,FalseSucrosePresses,TrueCocainePresses,FalseCocainePresses,DeliberatePress,non_deliberatePress,timeData,Trial,trialClass
3792,0,0,0,0,0,0,1,0,0,0,0,0,0,253.874736384026,6,1
3793,0,0,0,0,0,0,1,0,0,0,0,0,0,253.941686472735,6,1
3794,0,0,0,0,0,0,1,0,0,0,0,0,0,254.008636561443,6,1
3795,0,0,0,0,0,0,1,0,0,0,0,0,0,254.075586650152,6,1
3796,0,0,0,0,0,0,1,0,0,0,0,0,0,254.142536738861,6,1
3797,0,0,0,0,0,0,0,0,0,0,0,0,0,254.20948682757,6,1
3798,0,0,0,0,0,0,1,0,0,0,0,0,0,254.276436916279,6,1
3799,0,0,0,0,0,0,1,0,0,0,0,0,0,254.343387004988,6,1
3800,0,0,0,0,0,0,1,0,0,0,0,0,0,254.410337093697,6,1
3801,0,0,0,0,0,0,0,0,0,0,0,0,0,254.477287182406,6,1
3802,0,0,0,0,0,0,1,0,0,0,0,0,0,254.544237271114,6,1
3803,0,0,0,0,0,0,1,0,0,0,0,0,0,254.611187359823,6,1
3804,0,0,0,0,0,0,1,0,0,0,0,0,0,254.678137448532,6,1
3805,0,0,0,0,1,0,0,0,0,0,0,0,0,254.745087537241,6,1
4310,0,0,0,0,0,0,0,0,0,0,0,0,0,288.554882335219,7,0
4311,0,0,0,0,0,0,0,0,0,0,0,0,0,288.621832423928,7,0
4312,0,0,0,0,0,0,0,0,0,0,0,0,0,288.688782512637,7,0
4313,0,0,0,0,0,0,0,0,0,0,0,0,0,288.755732601346,7,0
4314,0,0,0,0,0,0,0,0,0,0,0,0,0,288.822682690055,7,0
4315,0,0,0,0,0,0,0,0,0,0,0,0,0,288.889632778763,7,0
4316,0,0,0,0,0,0,0,0,0,0,0,0,0,288.956582867472,7,0
4317,0,0,0,0,0,0,0,0,0,0,0,0,0,289.023532956181,7,0
4318,0,0,0,0,0,0,0,0,0,0,0,0,0,289.09048304489,7,0
4319,0,0,0,0,0,0,0,0,0,0,0,0,0,289.157433133599,7,0
4320,0,0,0,0,0,0,0,0,0,0,0,0,0,289.224383222308,7,0
4321,0,0,0,0,0,0,0,0,0,0,0,0,0,289.291333311017,7,0
4322,0,0,0,0,0,0,0,0,0,0,0,0,0,289.358283399726,7,0
4323,0,0,0,0,0,0,0,0,0,0,0,0,0,289.425233488434,7,0
4324,0,0,0,0,0,0,1,0,0,0,0,0,0,289.492183577143,7,0
4325,0,0,0,1,0,0,1,1,0,0,0,1,0,289.559133665852,7,0
4326,0,0,0,0,0,0,0,0,0,0,0,0,0,289.626083754561,7,0
4327,0,0,0,0,0,0,0,0,0,0,0,0,0,289.69303384327,7,0
4328,0,0,0,0,0,0,0,0,0,0,0,0,0,289.759983931979,7,0
4329,0,0,0,0,0,0,0,0,0,0,0,0,0,289.826934020688,7,0
4330,0,0,0,0,0,0,1,0,0,0,0,0,0,289.893884109396,7,0
4331,0,0,0,0,0,0,0,0,0,0,0,0,0,289.960834198105,7,0
4332,0,0,0,0,0,0,0,0,0,0,0,0,0,290.027784286814,7,0
4333,0,0,0,0,0,0,0,0,0,0,0,0,0,290.094734375523,7,0
4334,0,0,0,0,0,0,0,0,0,0,0,0,0,290.161684464232,7,0
4335,0,0,0,0,0,0,0,0,0,0,0,0,0,290.228634552941,7,0
4336,0,0,0,0,0,0,0,0,0,0,0,0,0,290.29558464165,7,0
4337,0,0,0,0,0,0,0,0,0,0,0,0,0,290.362534730359,7,0
4338,0,0,0,0,0,0,0,0,0,0,0,0,0,290.429484819067,7,0
4339,0,0,1,0,0,0,0,0,0,0,0,0,0,290.496434907776,7,0
4340,0,0,0,0,0,0,1,0,0,0,0,0,0,290.563384996485,7,0
4825,0,0,0,0,0,0,0,0,0,0,0,0,0,323.034178020286,8,0
4826,0,0,0,0,0,0,0,0,0,0,0,0,0,323.101128108995,8,0
4827,0,0,0,0,0,0,0,0,0,0,0,0,0,323.168078197704,8,0
4828,0,0,0,0,0,0,0,0,0,0,0,0,0,323.235028286412,8,0
4829,0,0,0,0,0,0,0,0,0,0,0,0,0,323.301978375121,8,0
4830,0,0,0,0,0,0,0,0,0,0,0,0,0,323.36892846383,8,0
4831,0,0,0,0,0,0,0,0,0,0,0,0,0,323.435878552539,8,0
4832,0,0,0,0,0,0,0,0,0,0,0,0,0,323.502828641248,8,0
4833,0,0,0,0,0,0,0,0,0,0,0,0,0,323.569778729957,8,0
4834,0,0,0,0,0,0,1,0,0,0,0,0,0,323.636728818666,8,0
4835,0,0,0,1,0,0,1,0,1,0,0,1,0,323.703678907375,8,0
4836,0,0,0,0,0,0,1,0,0,0,0,0,0,323.770628996083,8,0
4837,0,0,0,0,0,0,1,0,0,0,0,0,0,323.837579084792,8,0
4838,0,0,0,0,0,0,1,0,0,0,0,0,0,323.904529173501,8,0
4839,0,0,0,0,0,0,1,0,0,0,0,0,0,323.97147926221,8,0
4840,0,0,0,1,0,0,0,1,0,0,0,0,1,324.038429350919,8,0
4841,0,0,0,0,0,0,0,0,0,0,0,0,0,324.105379439628,8,0
